№,Name,Author
1,Доктор Живаго,Пастернак Борис Леонидович
2,Мастер и Маргарита,Булгаков Михаил Афанасьевич
3,Преступление и наказание,Достоевский Федор Михайлович
4,Мы,Замятин Евгений Иванович
5,Мертвые души,Гоголь Николай Васильевич
6,Лолита,Набоков Владимир Владимирович
7,Обломов,Гончаров Иван Александрович
8,Герой нашего времени,Лермонтов Михаил Юрьевич
9,Тихий Дон,Шолохов Михаил Александрович
10,Евгений Онегин,Пушкин Александр Сергеевич
11,12 стульев,"Ильф Илья Арнольдович, Петров Евгений Петрович"
12,Собачье сердце,Михаил Булгаков
13,Золотой телёнок,"Ильф Илья Арнольдович, Петров Евгений Петрович"
14,Собака Баскервилей,Артур Конан Дойль
15,Белый клык,Джек Лондон
16,Вишнёвый сад,Антон Павлович Чехов
17,Белая гвардия,Михаил Булгаков
18,Человек-амфибия,Александр Беляев
19,Алые паруса,Александр Грин
20,Записки юного врача,Михаил Булгаков
21,Мартин Иден,Джек Лондон
22,Маленький принц,Антуан де Сент-Экзюпери
23,На дне,Максим Горький
24,Гранатовый браслет,Александр Куприн
25,Загадка Эндхауза,Агата Кристи
26,Голова профессора Доуэля,Александр Беляев
27,Затерянный мир,Артур Конан Дойль
28,Превращение,Франц Кафка
29,Мать,Максим Горький
30,Человек и сверхчеловек,Бернард Шоу
31,Старуха,Даниил Хармс
32,Зов Ктулху,Говард Лавкрафт
33,Сокровище семи звёзд,Брэм Стокер
34,Страх,Стефан Цвейг
35,Энн из Зелёных крыш,Люси Мод Монтгомери
36,Арсен Люпен - благородный грабитель,Морис Леблан
37,Окаянные дни,Иван Бунин
38,По эту сторону рая,Фрэнсис Скотт Фицджеральд
39,Красный смех,Леонид Андреев
40,Чёрное море,Константин Паустовский
41,Приют грёз,Эрих Мария Ремарк
42,Пикник на обочине ,братья Стругацкие
43,Понедельник начинается в субботу,братья Стругацкие
44,Трудно быть богом,братья Стругацкие
45,1984,Джордж Оруэлл
46,О дивный новый мир,Олдос Хаксли
47,451 градус по Фаренгейту,Рэй Брэдбери
48,Цветы для Элджернона ,Дэниел Киз
49,Дюна,Фрэнк Герберт
50,11.22.63,Стивен Кинг
51,Конец вечности,Айзек Азимов
52,Американские боги,Нил Гейман
53,Солярис,Станислав Лем
54,Возвращение со звезд,Станислав Лем
55,Час Быка,Иван Ефремов
56,Таинственный остров ,Жюль Верн
57,Песни Гипериона,Дэн Симмонс 
58,Темный лес,Лю Цысинь
59,Марсианин,Энди Вейер
60,Спектр,Сергей Лукьяненко
61,Странник по звездам ,Джек Лондон
62,Непобедимый,Станислав Лем
63,Машина времени,Герберт Уэллс
64,Облачный атлас,Дэвид Митчелл
65,Лезвие бритвы ,Иван Ефремов
66,Гадкие лебеди,братья Стругацкие
67,Война миров ,Герберт Уэллс
68,Будущее ,Дмитрий Глуховский
69,Башня из черного дерева,Фаулз Джон Роберт
70,Дни в Бирме,Оруэлл Джордж
71,Дублинцы,Джойс Джеймс
72,Жизнь взаймы,Ремарк Эрих Мария
73,Колеса,Хейли Артур
74,Ловец на хлебном поле,Сэлинджер Джером Дэвид
75,Невероятная и грустная история о простодушной Эрендире и ее жестокосердной бабушке (сборник),Маркес Габриэль Гарсиа
76,Нью-Йорк,Драйзер Теодор
77,Острие бритвы,Моэм Сомерсет
78,Тени в раю,Ремарк Эрих Мария
79,Триумфальная арка,Ремарк Эрих Мария
80,1985,Бёрджесс Энтони
81,Великие сказочники (сборник),Гауф Вильгельм
82,Вождь краснокожих,О. Генри
83,Маленькие женщины,Олкотт Луиза Мэй
84,Моби Дик,Мелвилл Герман
85,Не позвать ли нам Дживса?,Вудхаус Пелам Гренвилл
86,О всех созданиях – больших и малых,Хэрриот Джеймс
87,Пирушка с привидением и др. рассказы,Джером Джером Клапка
88,Посмертные записки Пиквикского клуба,Диккенс Чарльз
89,Пятый персонаж. Мантикора. Мир чудес,Дэвис Робертсон
90,"Сахарный ребенок. История девочки из прошлого века, рассказанная Стеллой Нудольской",Громова Ольга Константиновна
91,"Тысяча благодарностей, Дживс!",Вудхаус Пелам Гренвилл
92,Шантарам,Грегори Дэвида Робертса
93,Девушка с татуировкой дракона,Стиг Ларссон
94,Пятьдесят оттенков серого,Леонард Эрика
95,"Есть, молиться, любить",Элизабет Гилберт
96,За спичками,Майю Лассила
97,Прикосновение тьмы,Скарлетт Сент-Клэр
98,Лампёшка,Аннет Схап
99,10 минут 30 секунд в этом странном мире,Шафак Элиф
100,Ваш покорный слуга-кот,Нацумэ Сосэки
101,Стоик,Теодор Драйзер
102,Призрак оперы,Леру Гастон
103,Дары Волхвов,О Генри
104,Доктор Фаустус,Томас Манн
105,О мышах и людях,Джон Стейнбек
106,Дух любви,Дафна дю Морье
107,Колыбель для кошки,Курт Воннегут
108,Мисс Черити,Мари-Од Мюрай
109,Над пропастью во ржи,Джером Дэвид Сэлинджер
110,Бремя страстей человеческих,Уильям Сомерсет Моэм
111,Сердца трех,Джек Лондон
112,Фиеста (И восходит солнце),Эрнест Хемингуэй
113,Черный обелиск,Эрих Мария Ремарк
114,Что-нибудь эдакое,Пелам Гренвилл Вудхаус
115,Яд и корона,Морис Дрюон
116,Аэропорт,Артур Хейли
117,Паутинка,Рюноскэ Акутагава
118,Финансист,Теодор Драйзер
119,Взор синих глаз,Томас Харди
120,Горшок золота,Джеймз Стивенз
121,Гроздья гнева,Джон Стейнбек
122,Всадник без головы ,Майн Рид
123,Старик и море,Эрнест Хемингуэй
124,Ночь нежна ,Фрэнсис Скотт Фицджеральд
125,А кто я теперь?,Курт Воннегут
126,Групповой портрет с дамой,Генрих Бёлль
127,Железный король,Морис Дрюон
128,Сдается в наем,Джон Голсуорси
129,Великий Гэтсби,Фрэнсис Скотт Фицджеральд
130,Неуютная ферма,Стелла Гиббонс
131,Узорный покров,Уильям Сомерсет Моэм
132,Превратности любви ,Андре Моруа
133,Ветер в ивах,Кеннет Грэм
134,Щелкунчик и Мышиный Король,Гофман Эрнст Теодор Амадей
135,Дикая собака Динго,Фраерман Рувим
136,Алиса в стране чудес,Льюис Кэролл
137,Искатели приключений,Никулин Игорь
138,На западном фронте без перемен,Эрих Мария Ремарк
139,Муму,Иван Тургенев
140,Рассказы о Суворове и русских солдатах,Сергей Алексеев
141,Скелет в шкафу,Энн Перри
142,Искра жизни,Эрих Мария Ремарк
143,Пнин,Владимир Набоков
144,В дурном обществе,Короленко Владимир
145,Палата №6,Антон Павлович Чехов
